2025-02-24 07:42:57 status unpacked libwbclient0:arm64 2:4.15.13+dfsg-0ubuntu0.20.04.7
2025-02-24 07:42:57 status half-installed libwbclient0:arm64 2:4.15.13+dfsg-0ubuntu0.20.04.7
2025-02-24 07:42:57 status unpacked libwbclient0:arm64 2:4.15.13+dfsg-0ubuntu0.20.04.8
2025-02-24 07:42:58 upgrade samba-libs:arm64 2:4.15.13+dfsg-0ubuntu0.20.04.7 2:4.15.13+dfsg-0ubuntu0.20.04.8
2025-02-24 07:42:58 status half-configured samba-libs:arm64 2:4.15.13+dfsg-0ubuntu0.20.04.7
2025-02-24 07:42:58 status unpacked samba-libs:arm64 2:4.15.13+dfsg-0ubuntu0.20.04.7
2025-02-24 07:42:58 status half-installed samba-libs:arm64 2:4.15.13+dfsg-0ubuntu0.20.04.7
2025-02-24 07:43:00 status unpacked samba-libs:arm64 2:4.15.13+dfsg-0ubuntu0.20.04.8
2025-02-24 07:43:00 upgrade python2.7:arm64 2.7.18-1~20.04.4 2.7.18-1~20.04.7
2025-02-24 07:43:00 status half-configured python2.7:arm64 2.7.18-1~20.04.4
2025-02-24 07:43:00 status unpacked python2.7:arm64 2.7.18-1~20.04.4
2025-02-24 07:43:00 status half-installed python2.7:arm64 2.7.18-1~20.04.4
2025-02-24 07:43:01 status unpacked python2.7:arm64 2.7.18-1~20.04.7
2025-02-24 07:43:01 upgrade libpython2.7-stdlib:arm64 2.7.18-1~20.04.4 2.7.18-1~20.04.7
2025-02-24 07:43:01 status half-configured libpython2.7-stdlib:arm64 2.7.18-1~20.04.4
2025-02-24 07:43:02 status unpacked libpython2.7-stdlib:arm64 2.7.18-1~20.04.4
2025-02-24 07:43:02 status half-installed libpython2.7-stdlib:arm64 2.7.18-1~20.04.4
2025-02-24 07:43:03 status unpacked libpython2.7-stdlib:arm64 2.7.18-1~20.04.7
2025-02-24 07:43:03 upgrade python2.7-minimal:arm64 2.7.18-1~20.04.4 2.7.18-1~20.04.7
2025-02-24 07:43:03 status half-configured python2.7-minimal:arm64 2.7.18-1~20.04.4
2025-02-24 07:43:03 status unpacked python2.7-minimal:arm64 2.7.18-1~20.04.4
2025-02-24 07:43:03 status half-installed python2.7-minimal:arm64 2.7.18-1~20.04.4
2025-02-24 07:43:04 status unpacked python2.7-minimal:arm64 2.7.18-1~20.04.7
2025-02-24 07:43:05 upgrade libpython2.7-minimal:arm64 2.7.18-1~20.04.4 2.7.18-1~20.04.7
2025-02-24 07:43:05 status half-configured libpython2.7-minimal:arm64 2.7.18-1~20.04.4
2025-02-24 07:43:05 status unpacked libpython2.7-minimal:arm64 2.7.18-1~20.04.4
2025-02-24 07:43:05 status half-installed libpython2.7-minimal:arm64 2.7.18-1~20.04.4
2025-02-24 07:43:06 status unpacked libpython2.7-minimal:arm64 2.7.18-1~20.04.7
2025-02-24 07:43:06 upgrade libss2:arm64 1.45.5-2ubuntu1.1 1.45.5-2ubuntu1.2
2025-02-24 07:43:06 status half-configured libss2:arm64 1.45.5-2ubuntu1.1
2025-02-24 07:43:06 status unpacked libss2:arm64 1.45.5-2ubuntu1.1
2025-02-24 07:43:07 status half-installed libss2:arm64 1.45.5-2ubuntu1.1
2025-02-24 07:43:07 status unpacked libss2:arm64 1.45.5-2ubuntu1.2
2025-02-24 07:43:08 upgrade openssl:arm64 1.1.1f-1ubuntu2.23 1.1.1f-1ubuntu2.24
